Dimension,PopSize (default),Minimum (avg),Iterations (avg),f(x) calls (avg),Selection (default),Crossover,Mutation (default)
16,25,7.00667678449561e14,1.6601049e6,4.15026475e7,truncation,DC,mutation
16,25,5.643420585413142e12,1.78673918e6,4.46685045e7,truncation,AX,mutation
16,25,2.473000486020715e16,1.17809434e6,2.94523835e7,truncation,HX,mutation
16,25,4.3304320304816694e14,842168.8,2.1054245e7,truncation,intermxvr,mutation
32,25,2.8706765306730735e15,827868.28,2.0696732e7,truncation,DC,mutation
32,25,2.197118577115918e13,820959.58,2.05240145e7,truncation,AX,mutation
32,25,5.22684344874612e16,670103.5,1.67526125e7,truncation,HX,mutation
32,25,2.4858686402702065e15,563699.04,1.4092501e7,truncation,intermxvr,mutation
64,25,8.754277995015868e15,569469.88,1.4236772e7,truncation,DC,mutation
64,25,6.857641606914784e13,565387.82,1.41347205e7,truncation,AX,mutation
64,25,1.0610481028101165e17,393628.82,9.8407455e6,truncation,HX,mutation
64,25,6.891061933639174e15,335719.18,8.3930045e6,truncation,intermxvr,mutation
