Dimension,PopSize,Minimum (avg),Iterations (avg),f(x) calls (avg),Selection (default),Crossover (default),Mutation (default)
16,25,6.466249201569646e14,1.65278598e6,4.13196745e7,truncation,DC,mutation
16,50,1.831600249860438e14,866219.84,4.3311042e7,truncation,DC,mutation
16,100,5.516876606665711e13,410450.14,4.1045114e7,truncation,DC,mutation
16,200,1.0576002196496723e13,178836.24,3.5767448e7,truncation,DC,mutation
16,400,1.7416831540277563e12,88872.42,3.5549368e7,truncation,DC,mutation
32,25,2.684385859791539e15,823992.5,2.05998375e7,truncation,DC,mutation
32,50,1.1064951823176862e15,465141.94,2.3257147e7,truncation,DC,mutation
32,100,3.696887022869968e14,233442.6,2.334436e7,truncation,DC,mutation
32,200,1.1901813596602484e14,117214.58,2.3443116e7,truncation,DC,mutation
32,400,2.539776078921894e13,58893.38,2.3557752e7,truncation,DC,mutation
64,25,8.792727998418067e15,549843.86,1.37461215e7,truncation,DC,mutation
64,50,4.642170987816152e15,279261.72,1.3963136e7,truncation,DC,mutation
64,100,2.2035412818937965e15,156296.9,1.562979e7,truncation,DC,mutation
64,200,7.391963647598204e14,88493.78,1.7698956e7,truncation,DC,mutation
64,400,2.199810001600498e14,46580.64,1.8632656e7,truncation,DC,mutation
